phrase,intent,parameters
"Привет, как дела?",chitchat,
Выключи дворники на авто,wipers_set,"{""speed"": ""off""}"
Открой окно у водителя,window_set,"{""action"": ""open"", ""window"": ""driver""}"
Приоткрой стекло пассажира,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 30}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
Открой окно на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Закрой заднее окно полностью,window_set,"{""action"": ""close"", ""window"": ""rear""}"
Включи кондиционер на двадцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Поставь климат-контроль на 22 градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
Выключи обогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Увеличь обогрев пассажирского сиденья до 70,seat_heater_set,"{""seat"": ""passenger"", ""level"": 70}"
Установи температуру на 25 градусов,ac_set,"{""state"": ""on"", ""temperature"": 25}"
Сделай громче на десять,volume_change,"{""delta"": 10}"
Понизь громкость на восемь,volume_change,"{""delta"": -8}"
Сделай звук потише,volume_change,"{""direction"": ""down""}"
Поставь музыку на паузу,media_pause,
Включи радио на частоте 95.7,radio_set,"{""frequency"": ""95.7""}"
Выбери источник USB,media_source_set,"{""source"": ""usb""}"
"Привет, как дела?",chitchat,
Как добраться до ближайшего ресторана?,nav_start,"{""destination"": ""ближайший ресторан""}"
Позвони маме,call_start,"{""contact"": ""мама""}"
Отвечай на звонок,call_answer,
Закрой люк полностью,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Включи дворники на авто,wipers_set,"{""speed"": ""auto""}"
Выключи фары,headlights_set,"{""state"": ""off""}"
Сделай обогрев руля активным,wheel_heater_set,"{""state"": ""on""}"
Включи обогрев сиденья пассажира на 50,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Сделай громкость на 30 процентов,volume_set,"{""level"": 30}"
Увеличь громкость на 5,volume_change,"{""delta"": 5}"
Отменить навигацию,nav_cancel,
Переключи на следующую песню,next_track,
Открой окно водителя на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 20}"
Приоткрой стекло у пассажира,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Поставь кондиционер на 18 градусов,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Выключи климат-контроль,ac_off,
Включи кондиционер на двадцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Сделай обдув на максимуме,ac_mode_set,"{""enabled"": true}"
Поставь обогрев сиденья для пассажира на 70,seat_heater_set,"{""seat"": ""passenger"", ""level"": 70}"
Включи обогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Закрой люк полностью,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Сделай громче на 10,volume_change,"{""delta"": 10}"
Уменьши громкость на пятнадцать процентов,volume_change,"{""delta"": -15}"
Установи громкость на 50,volume_set,"{""level"": 50}"
Включи Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Поставь радио на 95.5,radio_set,"{""frequency"": ""95.5""}"
Включи следующую песню,next_track,
Как мне доехать до ближайшего кафе?,nav_start,"{""destination"": ""ближайшее кафе""}"
Позвони Игорю,call_start,"{""contact"": ""Игорь""}"
Как дела?,chitchat,
Включи фары,headlights_set,"{""state"": ""on""}"
Отключи обогрев руля,wheel_heater_set,"{""state"": ""off""}"
Останови музыку,stop_music,
Какой у меня маршрут?,chitchat,
Открой окно водителя полностью,window_set,"{""action"": ""open"", ""window"": ""driver""}"
Приоткрой пассажирское стекло на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 20}"
Закрой все окна в машине,window_set,"{""action"": ""close"", ""window"": ""all""}"
Сделай кондиционер на тридцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 30}"
"Выключи кондиционер, пожалуйста",ac_off,
Включи рециркуляцию в климат-контроле,ac_mode_set,"{""enabled"": true}"
Настрой вентиляцию сиденья пассажира на 75 процентов,seat_vent_set,"{""seat"": ""passenger"", ""level"": 75}"
Сделай обогрев сиденья водителя на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Включи обогрев лобового стекла,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Закрой люк полностью,sunroof_set,"{""action"": ""close""}"
Включи радио на 95.6,radio_set,"{""frequency"": ""95.6""}"
Переключи на следующую композицию,next_track,
Сделай потише на десять,volume_change,"{""delta"": -10}"
Установи громкость на восемьдесят процентов,volume_set,"{""level"": 80}"
Поставь музыку на повтор,media_repeat_set,"{""mode"": ""one""}"
Позвони другу,call_start,"{""contact"": ""друг""}"
Как мне доехать до ближайшего кафе?,nav_start,"{""destination"": ""ближайшее кафе""}"
Отключи дальний свет,high_beam_set,"{""state"": ""off""}"
Увеличь скорость дворников до максимума,wipers_set,"{""speed"": ""high""}"
Как дела?,chitchat,
Поставь Bluetooth в качестве источника,media_source_set,"{""source"": ""bluetooth""}"
Открой окно у водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Закрой окно у пассажира,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
"Можно, пожалуйста, открыть все окна?",window_set,"{""action"": ""open"", ""window"": ""all""}"
Сделай холоднее на два градуса,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Включи кондиционер,ac_set,"{""state"": ""on"", ""temperature"": 24}"
Выключи кондиционер,ac_off,
Увеличь мощность вентилятора до 75,ac_fan_set,"{""level"": 75, ""speed"": ""medium""}"
Установи обогрев сидения пассажира на 60,seat_heater_set,"{""seat"": ""passenger"", ""level"": 60}"
Включи обогрев сидения водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Открой люк на полную,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Закрой люк,sunroof_close,
Сделай громче на десять,volume_change,"{""delta"": 10}"
Убавь звук на 5 процентов,volume_change,"{""delta"": -5}"
Сделай громкость 75,volume_set,"{""level"": 75}"
Поставь источник на радио,media_source_set,"{""source"": ""radio""}"
Начни воспроизведение музыки,play_music,
Приостанови музыку,media_pause,
Как доехать до Красной площади?,nav_start,"{""destination"": ""Красная площадь""}"
Отмени навигацию,nav_cancel,
Позвони Анне,call_start,"{""contact"": ""Анна""}"
Ответь на звонок,call_answer,
Закончи звонок,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Включи дальний свет,high_beam_set,"{""state"": ""on""}"
Установи дворники на авто,rain_set,"{""mode"": ""auto""}"
"Привет, как дела?",chitchat,
Сегодня жарко в машине,chitchat,
Как ты?,chitchat,
Закрой окно у водителя полностью,window_set,"{""action"": ""close"", ""window"": ""driver""}"
Приоткрой стекло пассажира на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 30}"
Открой все окна,window_set,"{""action"": ""open"", ""window"": ""all""}"
Можно приоткрыть окошко?,window_set,"{""action"": ""open"", ""window"": ""driver""}"
"Сделай в салоне чуть прохладнее, включи кондиционер на 20 градусов",ac_set,"{""state"": ""on"", ""temperature"": 20}"
Выключи кондиционер,ac_off,
Установи режим обогрева сиденья на 70 для пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 70}"
Сделай уровень вентиляции на максимум,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Выключи дворники,wipers_set,"{""speed"": ""off""}"
Включи дворники на средней скорости,wipers_set,"{""speed"": ""medium""}"
Включи обогрев руля,wheel_heater_set,"{""state"": ""on""}"
Сделай громче на 5,volume_change,"{""delta"": 5}"
Убавь громкость на десять процентов,volume_change,"{""delta"": -10}"
Поставь громкость на 30,volume_set,"{""level"": 30}"
Включи музыку,play_music,
Сделай тише,volume_mute_set,"{""state"": ""on""}"
Следующий трек,next_track,
Переключи на радио,media_source_set,"{""source"": ""radio""}"
Как доехать до Болотной площади?,nav_start,"{""destination"": ""Болотная площадь""}"
Отмени маршрут,nav_cancel,
Позвони Сергею,call_start,"{""contact"": ""Сергей""}"
Ответь на звонок,call_answer,
Заканчивай разговор,call_hangup,
Включи дальний свет,high_beam_set,"{""state"": ""on""}"
Включи фары на автомат,headlights_set,"{""state"": ""auto""}"
"Привет, как дела?",chitchat,
"Всё хорошо, спасибо, а у тебя?",chitchat,
Открой окно водителя на половину,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 50}"
"Пожалуйста, закрой окно у пассажира полностью",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой все окна на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 30}"
Включи кондиционер на 20 градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Выключи кондиционер,ac_off,
Включи обдув,ac_mode_set,"{""enabled"": true}"
Сделай холоднее на три градуса,ac_set,"{""state"": ""on"", ""temperature"": 19}"
Сделай температуру 22,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Включи вентилятор на максимуме,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Обогрей сиденье водителя на 70%,seat_heater_set,"{""seat"": ""driver"", ""level"": 70}"
Сделай обогрев у пассажира на 50,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Включи вентиляцию для сиденья,seat_vent_set,"{""seat"": ""driver"", ""level"": 100}"
Сделай вентиляцию у пассажира на 30%,seat_vent_set,"{""seat"": ""passenger"", ""level"": 30}"
Включи обогрев заднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Закрой люк,sunroof_close,
Открой люк на 60 процентов,sunroof_set,"{""action"": ""open"", ""percent"": 60}"
Поставь радио на 101.5,radio_set,"{""frequency"": ""101.5""}"
Сделай громче на пять,volume_change,"{""delta"": 5}"
Уменьши громкость на десять,volume_change,"{""delta"": -10}"
Поставь громкость на 30%,volume_set,"{""level"": 30}"
Выключи звук,volume_mute_set,"{""state"": ""on""}"
Поставь Bluetooth как источник,media_source_set,"{""source"": ""bluetooth""}"
Следующий трек,next_track,
Пауза,media_pause,
"Привет, как дела?",chitchat,
Как добраться до Кремля?,nav_start,"{""destination"": ""Кремль""}"
Заверши навигацию,nav_cancel,
Позвони другу,call_start,"{""contact"": ""друг""}"
Ответь на звонок,call_answer,
Скинь вызов,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Переключи фары на автоматический режим,headlights_set,"{""state"": ""auto""}"
Включи дворники на максимуме,wipers_set,"{""speed"": ""high""}"
Настрой дворники на авто,rain_set,"{""mode"": ""auto""}"
Открой окно водителя на три четверти,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 75}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Приоткрой пассажирское стекло,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Сделай климат на 21 градус,ac_set,"{""state"": ""on"", ""temperature"": 21}"
Выключи кондиционер,ac_set,"{""state"": ""off"", ""temperature"": 20}"
Сделай температуру 18 градусов,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Включи кондиционер,ac_off,
Включи обдув,ac_mode_set,"{""enabled"": true}"
Отключи рециркуляцию,ac_mode_set,"{""enabled"": false}"
Установи обогрев сиденья пассажира на 50%,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Сделай обогрев сиденья водителя на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Поставь обогрев на 25 процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 25}"
Включи вентиляцию сидений,seat_vent_set,"{""seat"": ""driver"", ""level"": 80}"
Сделай вентиляцию на 40%,seat_vent_set,"{""seat"": ""passenger"", ""level"": 40}"
Убери обогрев сиденья,seat_vent_set,"{""seat"": ""driver"", ""level"": 0}"
Включи обогрев заднего стекла,defrost_set,"{""state"": ""on"", ""target"": ""rear""}"
Выключи обогрев переднего стекла,defrost_set,"{""state"": ""off"", ""target"": ""front""}"
Закрой люк на максимум,sunroof_set,"{""action"": ""close"", ""percent"": 100}"
Открой люк на 50 процентов,sunroof_set,"{""action"": ""open"", ""percent"": 50}"
Закрой люк,sunroof_close,
Включи музыку,play_music,
Пауза музыки,media_pause,
Переключи на следующую песню,next_track,
Сделай громче на десять,volume_change,"{""delta"": 10}"
Уменьши громкость на 5 единиц,volume_change,"{""delta"": -5}"
Поставь громкость на 30%,volume_set,"{""level"": 30}"
Выключи звук,volume_mute_set,"{""state"": ""on""}"
Сделай громкость на 70%,volume_set,"{""level"": 70}"
Поставь радио на 90.0,radio_set,"{""frequency"": ""90.0""}"
Включи станцию Вести ФМ,radio_set_station,"{""station"": ""Вести ФМ""}"
Начни навигацию к офису,nav_start,"{""destination"": ""офис""}"
Отмени навигацию,nav_cancel,
Позвони Анне,call_start,"{""contact"": ""Анна""}"
Ответь на звонок,call_answer,
Заверши разговор,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи фары,headlights_set,"{""state"": ""off""}"
Сделай скорость дворников на высокую,wipers_set,"{""speed"": ""high""}"
Поставь дворники на авто,rain_set,"{""mode"": ""auto""}"
Привет,chitchat,
Как дела?,chitchat,
Как добраться до аэропорта?,chitchat,
Открой окно водителя на три четверти,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 75}"
"Закрой пассажирское окно, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой все окна на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 20}"
Можешь закрыть заднее окно?,window_set,"{""action"": ""close"", ""window"": ""rear""}"
Сделай кондиционер на 20 градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Включи климат-контроль на 25 градусов,ac_set,"{""state"": ""on"", ""temperature"": 25}"
Выключи кондиционер,ac_off,
Поставь рециркуляцию,ac_mode_set,"{""enabled"": true}"
Убери обогрев сиденья пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Включи обогрев сиденья водителя на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Включи музыку,play_music,
Поставь на паузу музыку,media_pause,
Переключи на следующую песню,next_track,
Сделай тише на десять,volume_change,"{""delta"": -10}"
Сделай громче на пятнадцать процентов,volume_change,"{""direction"": ""up""}"
Поставь громкость на 50,volume_set,"{""level"": 50}"
Сделай звук чуть тише,volume_change,"{""direction"": ""down""}"
Подключи телефон по Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Включи радио на 95.5,radio_set,"{""frequency"": ""95.5""}"
Как доехать до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Отмени навигацию,nav_cancel,
Позвони маме,call_start,"{""contact"": ""мама""}"
Ответь на звонок,call_answer,
Заканчивай разговор,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Установи скорость стеклоочистителей на авто,wipers_set,"{""speed"": ""auto""}"
Сделай обогрев руля,wheel_heater_set,"{""state"": ""on""}"
"Привет, как дела?",chitchat,
Как ты?,chitchat,
Доброе утро!,chitchat,
"Душно в машине, открой окно",window_set,"{""action"": ""open"", ""window"": ""all""}"
Открой окно у водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Пожалуйста, закрой окно пассажира",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
Приоткрой стекло на десять процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 10}"
Сделай кондиционер холоднее на два градуса,ac_set,"{""state"": ""on"", ""temperature"": 20}"
"Включи кондиционер, температура 24",ac_set,"{""state"": ""on"", ""temperature"": 24}"
Выключи кондиционер,ac_off,
Включи режим рециркуляции,ac_mode_set,"{""enabled"": true}"
Установи обдув на максимальную скорость,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Сделай громче на восемь,volume_change,"{""delta"": 8}"
Уменьши громкость на десять,volume_change,"{""delta"": -10}"
Поставь громкость на 75 процентов,volume_set,"{""level"": 75}"
"Пожалуйста, включи радио",play_music,
Останови музыку,stop_music,
Переключи на следующий трек,next_track,
Включи обогрев сиденья пассажира на 50,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Включи обогрев сиденья водителя на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
"Пожалуйста, включи навигацию до Москвы",nav_start,"{""destination"": ""Москва""}"
Как доехать до ближайшей заправки?,nav_start,"{""destination"": ""ближайшая заправка""}"
Переключи на bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Сделай громкость на 50%,volume_set,"{""level"": 50}"
Переключи на следующую радиостанцию,next_track,
Закрой люк,sunroof_close,
Сделай стеклоочистители на высокую скорость,wipers_set,"{""speed"": ""high""}"
Включи фары,headlights_set,"{""state"": ""on""}"
Как дела?,chitchat,
"Привет, как ты?",chitchat,
Позвони Анне,call_start,"{""contact"": ""Анна""}"
Ответь на звонок,call_answer,
Забери звонок,call_hangup,
Включи обогрев сиденья на 30 для пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 30}"
"Пожалуйста, сделай на десять погромче",volume_change,"{""delta"": 10}"
Переключи на радио 95.5,radio_set,"{""frequency"": ""95.5""}"
Отмени маршрут,nav_cancel,
Выключи обогрев сидений,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Открой окно водителя на сто процентов,window_set,"{""action"": ""open"", ""window"": ""driver"", ""percent"": 100}"
Закрой окно у пассажира,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Можно открыть все окна немного?,window_set,"{""action"": ""open"", ""window"": ""all""}"
Приоткрой стекло на пятьдесят процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 50}"
Включи кондиционер на 20 градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Поставь кондиционер на 25 градусов,ac_set,"{""state"": ""on"", ""temperature"": 25}"
Выключи кондиционер,ac_off,
Включи обогрев сиденья пассажира на максимум,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Увеличь скорость вентилятора до средней,ac_fan_set,"{""level"": 50, ""speed"": ""medium""}"
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Как выключить музыку?,stop_music,
Переключи на следующий трек,next_track,
Сделай потише на десять,volume_change,"{""delta"": -10}"
Увеличь громкость на 15%,volume_change,"{""delta"": 15}"
Поставь радио на 95.5,radio_set,"{""frequency"": ""95.5""}"
Как настроить навигацию до аэропорта?,nav_start,"{""destination"": ""аэропорт""}"
Позвони маме,call_start,"{""contact"": ""мама""}"
Ответь на звонок,call_answer,
Выключи фары,headlights_set,"{""state"": ""off""}"
Включи обогрев руля,wheel_heater_set,"{""state"": ""on""}"
Как дела?,chitchat,
"Душно в машине, открой все окна",window_set,"{""action"": ""open"", ""window"": ""all""}"
Открой люк на 70 процентов,sunroof_set,"{""action"": ""open"", ""percent"": 70}"
Закрой люк,sunroof_close,
Открой окно у водителя на пятьдесят процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 50}"
Закрой окно у пассажира полностью,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой все окна,window_set,"{""action"": ""open"", ""window"": ""all""}"
Включи кондиционер на двадцать два градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Выключи кондиционер,ac_off,
Включи рециркуляцию в климате,ac_mode_set,"{""enabled"": true}"
Установи обогрев сиденья пассажира на максималку,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Настрой обогрев сиденья водителя на тридцать процентов,seat_heater_set,"{""seat"": ""driver"", ""level"": 30}"
Включи обогрев сиденья,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Сделай погромче на десять,volume_change,"{""delta"": 10}"
Уменьши громкость на двадцать процентов,volume_change,"{""direction"": ""down""}"
Настрой громкость на восемьдесят,volume_set,"{""level"": 80}"
Включи радио на частоте девяносто один точка шесть,radio_set,"{""frequency"": ""91.6""}"
Переключи на следующий трек,next_track,
Приостанови воспроизведение музыки,media_pause,
Как доехать до Кремля?,nav_start,"{""destination"": ""Кремль""}"
Отмени маршрут,nav_cancel,
Позвони Сергею,call_start,"{""contact"": ""Сергей""}"
Ответь на звонок,call_answer,
Отключи фары,headlights_set,"{""state"": ""off""}"
Включи дальний свет,high_beam_set,"{""state"": ""on""}"
Установи скорость дворников на авто,wipers_set,"{""speed"": ""auto""}"
Как дела?,chitchat,
"Сделай громче, пожалуйста",volume_change,"{""direction"": ""up""}"
Подними солнцезащитный люк на сто процентов,sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Закрой солнцезащитный люк,sunroof_close,
Открой окно водителя на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 20}"
"Пожалуйста, закрой окно у пассажира",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой стекло на полную,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 100}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Сделай кондиционер потише,ac_fan_set,"{""level"": 30, ""speed"": ""low""}"
Включи кондиционер на 21 градус,ac_set,"{""state"": ""on"", ""temperature"": 21}"
Поставь 24 градуса в кондиционере,ac_set,"{""state"": ""on"", ""temperature"": 24}"
Отключи кондиционер,ac_off,
Поставь вентилятор на максимальную скорость,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Запусти музыку,play_music,
Останови музыку,stop_music,
Пауза,media_pause,
Следующий трек,next_track,
Назад на предыдущий трек,previous_track,
Сделай громче на десять,volume_change,"{""delta"": 10}"
Убавь громкость на пятнадцать процентов,volume_change,"{""delta"": -15}"
Поставь громкость на 50%,volume_set,"{""level"": 50}"
Включи радио на частоте 95.5,radio_set,"{""frequency"": ""95.5""}"
Переключи на Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
Как доехать до Кремля?,nav_start,"{""destination"": ""Кремль""}"
Отмени навигацию,nav_cancel,
Позвони Александру,call_start,"{""contact"": ""Александр""}"
Ответь на звонок,call_answer,
Закончить звонок,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Установи дворники на авто,wipers_set,"{""speed"": ""auto""}"
Сделай обогрев сиденья водителя на 100%,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Как дела?,chitchat,
"Мне жарко, включи кондиционер",ac_set,"{""state"": ""on"", ""temperature"": 22}"
"Пожалуйста, закрой люк",sunroof_set,"{""action"": ""close""}"
Открой люк на 50 процентов,sunroof_set,"{""action"": ""set"", ""percent"": 50}"
Включи обогрев руля,wheel_heater_set,"{""state"": ""on""}"
Выключи обогрев сиденья пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 0}"
Открой окно водителя,window_set,"{""action"": ""open"", ""window"": ""driver""}"
Приоткрой стекло пассажира,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
Можно открыть окно на тридцать процентов?,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Закрой, пожалуйста, окно у водителя",window_set,"{""action"": ""close"", ""window"": ""driver""}"
Включи кондиционер и установи на двадцать два градуса,ac_set,"{""state"": ""on"", ""temperature"": 22}"
Поставь кондиционер на тридцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 30}"
Выключи кондиционер,ac_off,
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Выключи рециркуляцию,ac_mode_set,"{""enabled"": false}"
Установи уровень вентилятора на восемьдесят процентов,ac_fan_set,"{""level"": 80}"
Сделай обогрев сиденья водителя на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Обогрей сиденье пассажира на пятьдесят процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Включи обдув стекол,defrost_set,"{""state"": ""on"", ""target"": ""front""}"
Закрой люк,sunroof_close,
Открой люк на семьдесят процентов,sunroof_set,"{""action"": ""open"", ""percent"": 70}"
Включи музыку,play_music,
Останови воспроизведение,stop_music,
Сделай потише на пять,volume_change,"{""delta"": -5}"
Добавь громкости на десять процентов,volume_change,"{""delta"": 10}"
Поставь громкость на восемьдесят,volume_set,"{""level"": 80}"
Сделай звук на минимум,volume_mute_set,"{""state"": ""on""}"
Сбрось громкость,volume_mute_set,"{""state"": ""off""}"
Поставь радио на частоту девяносто две,radio_set,"{""frequency"": ""92.0""}"
Переключи на следующую песню,next_track,
Вернись на предыдущий трек,previous_track,
Как доехать до магазина?,nav_start,"{""destination"": ""магазин""}"
Отмени навигацию,nav_cancel,
Позвони Александру,call_start,"{""contact"": ""Александр""}"
Ответь на звонок,call_answer,
Заверши разговор,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи фары,headlights_set,"{""state"": ""off""}"
Сделай дворники на высокой скорости,wipers_set,"{""speed"": ""high""}"
Дай сигнал,chitchat,
Открой окно водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
Закрой стекло у пассажира,window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой окошко,window_set,"{""action"": ""open"", ""window"": ""all""}"
Сделай кондиционер более холодным,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Выключи кондиционер,ac_off,
Установи режим рециркуляции,ac_mode_set,"{""enabled"": true}"
Сделай обогрев сиденья пассажира на восемьдесят процентов,seat_heater_set,"{""seat"": ""passenger"", ""level"": 80}"
Включи обогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Выключи подогрев сиденья,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
"Душно в машине, открой крышу",sunroof_set,"{""action"": ""open"", ""percent"": 100}"
Закрой люк,sunroof_close,
Поставь музыку на паузу,media_pause,
Сделай громче на десять,volume_change,"{""delta"": 10}"
Убавь громкость на двадцать процентов,volume_change,"{""delta"": -20}"
Установи громкость на восемьдесят,volume_set,"{""level"": 80}"
Включи радио на частоте девяносто,radio_set,"{""frequency"": ""90.0""}"
Позвони Василисе,call_start,"{""contact"": ""Василиса""}"
Как доехать до ближайшей АЗС?,nav_start,"{""destination"": ""ближайшая АЗС""}"
Включи фары,headlights_set,"{""state"": ""on""}"
Поставь уровень дворников на авто,rain_set,"{""mode"": ""auto""}"
Как дела?,chitchat,
Приоткрой окно у водителя на пятьдесят процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 50}"
Закрой все окна,window_set,"{""action"": ""close"", ""window"": ""all""}"
"Пожалуйста, открой пассажирское окно",window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Закрой стекло на заднем сиденье,window_set,"{""action"": ""close"", ""window"": ""all""}"
Включи кондиционер на двадцать градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Сделай климат на 24 градуса,ac_set,"{""state"": ""on"", ""temperature"": 24}"
Выключи кондиционер,ac_off,
Поставь обдув на максимуме,ac_mode_set,"{""enabled"": true}"
Включи обогрев сиденья для пассажира на 80%,seat_heater_set,"{""seat"": ""passenger"", ""level"": 80}"
"Пожалуйста, включи обогрев сиденья водителя",seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Поставь вентилятор на высокую скорость,ac_fan_set,"{""level"": 100, ""speed"": ""high""}"
Выключи обогрев,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Включи дворники на средней скорости,wipers_set,"{""speed"": ""medium""}"
